activity_id,week,location_id,co_share_group
A009,4,PLAT:ALP:S06:EB,n1
A009,4,SEC:ALP:S05_S06:EB,n1
A009,5,PLAT:ALP:S05:EB,n4
A009,5,PLAT:ALP:S06:EB,n4
A009,5,SEC:ALP:S05_S06:EB,n4
A009,6,PLAT:ALP:S05:EB,n1
A009,6,PLAT:ALP:S06:EB,n1
A009,6,SEC:ALP:S05_S06:EB,n1
A009,7,PLAT:ALP:S05:EB,n1
A009,7,PLAT:ALP:S06:EB,n1
A009,7,SEC:ALP:S05_S06:EB,n1
A009,8,PLAT:ALP:S05:EB,n2
A009,8,PLAT:ALP:S06:EB,n2
A009,8,SEC:ALP:S05_S06:EB,n2
A011,15,PLAT:BET:S15:EB,n4
A011,15,PLAT:BET:S16:EB,n4
A011,15,PLAT:BET:S17:EB,n4
A011,15,SEC:BET:S15_S16:EB,n4
A011,15,SEC:BET:S16_S17:EB,n4
A011,16,PLAT:BET:S15:EB,n1
A011,16,PLAT:BET:S16:EB,n1
A011,16,PLAT:BET:S17:EB,n1
A011,16,SEC:BET:S15_S16:EB,n1
A011,16,SEC:BET:S16_S17:EB,n1
A012,2,PLAT:BET:H01:WB,n2
A012,2,PLAT:BET:H02:WB,n2
A012,2,PLAT:BET:S15:WB,n2
A012,2,SEC:BET:H01_H02:WB,n2
A012,2,SEC:BET:H02_S15:WB,n2
A012,3,PLAT:BET:H01:WB,n3
A012,3,PLAT:BET:H02:WB,n3
A012,3,PLAT:BET:S15:WB,n3
A012,3,SEC:BET:H01_H02:WB,n3
A012,3,SEC:BET:H02_S15:WB,n3
A012,4,PLAT:BET:H01:WB,n2
A012,4,PLAT:BET:H02:WB,n2
A012,4,PLAT:BET:S15:WB,n2
A012,4,SEC:BET:H01_H02:WB,n2
A012,4,SEC:BET:H02_S15:WB,n2
A012,5,PLAT:BET:H01:WB,n3
A012,5,PLAT:BET:H02:WB,n3
A012,5,PLAT:BET:S15:WB,n3
A012,5,SEC:BET:H01_H02:WB,n3
A012,5,SEC:BET:H02_S15:WB,n3
A012,6,PLAT:BET:H01:WB,n2
A012,6,PLAT:BET:H02:WB,n2
A012,6,PLAT:BET:S15:WB,n2
A012,6,SEC:BET:H01_H02:WB,n2
A012,6,SEC:BET:H02_S15:WB,n2
A012,7,PLAT:BET:H01:WB,n3
A012,7,PLAT:BET:H02:WB,n3
A012,7,PLAT:BET:S15:WB,n3
A012,7,SEC:BET:H01_H02:WB,n3
A012,7,SEC:BET:H02_S15:WB,n3
A012,8,PLAT:BET:H01:WB,n1
A012,8,PLAT:BET:H02:WB,n1
A012,8,PLAT:BET:S15:WB,n1
A012,8,SEC:BET:H01_H02:WB,n1
A012,8,SEC:BET:H02_S15:WB,n1
A013,21,PLAT:ALP:S05:WB,n3
A013,21,PLAT:ALP:S06:WB,n3
A013,21,SEC:ALP:S05_S06:WB,n3
A013,22,PLAT:ALP:S05:WB,n4
A013,22,PLAT:ALP:S06:WB,n4
A013,22,SEC:ALP:S05_S06:WB,n4
A013,23,PLAT:ALP:S05:WB,n5
A013,23,PLAT:ALP:S06:WB,n5
A013,23,SEC:ALP:S05_S06:WB,n5
A013,24,PLAT:ALP:S05:WB,n4
A013,24,PLAT:ALP:S06:WB,n4
A013,24,SEC:ALP:S05_S06:WB,n4
A013,25,PLAT:ALP:S05:WB,n2
A013,25,PLAT:ALP:S06:WB,n2
A013,25,SEC:ALP:S05_S06:WB,n2
A014,13,PLAT:ALP:S07:EB,n1
A014,13,PLAT:ALP:S08:EB,n1
A014,13,SEC:ALP:S07_S08:EB,n1
A014,14,PLAT:ALP:S07:EB,n2
A014,14,PLAT:ALP:S08:EB,n2
A014,14,SEC:ALP:S07_S08:EB,n2
A014,15,PLAT:ALP:S07:EB,n2
A014,15,PLAT:ALP:S08:EB,n2
A014,15,SEC:ALP:S07_S08:EB,n2
A014,16,PLAT:ALP:S07:EB,n1
A014,16,PLAT:ALP:S08:EB,n1
A014,16,SEC:ALP:S07_S08:EB,n1
A014,17,PLAT:ALP:S07:EB,n4
A014,17,PLAT:ALP:S08:EB,n4
A014,17,SEC:ALP:S07_S08:EB,n4
A014,18,PLAT:ALP:S07:EB,n5
A014,18,PLAT:ALP:S08:EB,n5
A014,18,SEC:ALP:S07_S08:EB,n5
A014,19,PLAT:ALP:S07:EB,n5
A014,19,PLAT:ALP:S08:EB,n5
A014,19,SEC:ALP:S07_S08:EB,n5
A017,17,PLAT:BET:H01:EB,n2
A017,17,PLAT:BET:H02:EB,n2
A017,17,PLAT:BET:S15:EB,n2
A017,17,PLAT:BET:S16:EB,n2
A017,17,SEC:BET:H01_H02:EB,n2
A017,17,SEC:BET:H02_S15:EB,n2
A017,17,SEC:BET:S15_S16:EB,n2
A017,18,PLAT:BET:H01:EB,n1
A017,18,PLAT:BET:H02:EB,n1
A017,18,PLAT:BET:S15:EB,n1
A017,18,PLAT:BET:S16:EB,n1
A017,18,SEC:BET:H01_H02:EB,n1
A017,18,SEC:BET:H02_S15:EB,n1
A017,18,SEC:BET:S15_S16:EB,n1
A017,20,PLAT:BET:H01:EB,n2
A017,20,PLAT:BET:H02:EB,n2
A017,20,PLAT:BET:S15:EB,n2
A017,20,PLAT:BET:S16:EB,n2
A017,20,SEC:BET:H01_H02:EB,n2
A017,20,SEC:BET:H02_S15:EB,n2
A017,20,SEC:BET:S15_S16:EB,n2
A017,21,PLAT:BET:H01:EB,n3
A017,21,PLAT:BET:H02:EB,n3
A017,21,PLAT:BET:S15:EB,n3
A017,21,PLAT:BET:S16:EB,n3
A017,21,SEC:BET:H01_H02:EB,n3
A017,21,SEC:BET:H02_S15:EB,n3
A017,21,SEC:BET:S15_S16:EB,n3
A017,22,PLAT:BET:H01:EB,n2
A017,22,PLAT:BET:H02:EB,n2
A017,22,PLAT:BET:S15:EB,n2
A017,22,PLAT:BET:S16:EB,n2
A017,22,SEC:BET:H01_H02:EB,n2
A017,22,SEC:BET:H02_S15:EB,n2
A017,22,SEC:BET:S15_S16:EB,n2
A017,23,PLAT:BET:H01:EB,n2
A017,23,PLAT:BET:H02:EB,n2
A017,23,PLAT:BET:S15:EB,n2
A017,23,PLAT:BET:S16:EB,n2
A017,23,SEC:BET:H01_H02:EB,n2
A017,23,SEC:BET:H02_S15:EB,n2
A017,23,SEC:BET:S15_S16:EB,n2
A017,24,PLAT:BET:H01:EB,n1
A017,24,PLAT:BET:H02:EB,n1
A017,24,PLAT:BET:S15:EB,n1
A017,24,PLAT:BET:S16:EB,n1
A017,24,SEC:BET:H01_H02:EB,n1
A017,24,SEC:BET:H02_S15:EB,n1
A017,24,SEC:BET:S15_S16:EB,n1
A019,11,PLAT:BET:S16:EB,n5
A019,11,PLAT:BET:S17:EB,n5
A019,11,SEC:BET:S16_S17:EB,n5
A019,12,PLAT:BET:S16:EB,n4
A019,12,PLAT:BET:S17:EB,n4
A019,12,SEC:BET:S16_S17:EB,n4
A020,13,PLAT:ALP:H01:WB,n2
A020,13,PLAT:ALP:H02:WB,n2
A020,13,PLAT:ALP:S04:WB,n2
A020,13,PLAT:ALP:S05:WB,n2
A020,13,SEC:ALP:H01_H02:WB,n2
A020,13,SEC:ALP:H02_S05:WB,n2
A020,13,SEC:ALP:S04_H01:WB,n2
A020,14,PLAT:ALP:H01:WB,n5
A020,14,PLAT:ALP:H02:WB,n5
A020,14,PLAT:ALP:S04:WB,n5
A020,14,PLAT:ALP:S05:WB,n5
A020,14,SEC:ALP:H01_H02:WB,n5
A020,14,SEC:ALP:H02_S05:WB,n5
A020,14,SEC:ALP:S04_H01:WB,n5
A021,3,PLAT:BET:S11:WB,n1
A021,3,PLAT:BET:S12:WB,n1
A021,3,PLAT:BET:S13:WB,n1
A021,3,SEC:BET:S11_S12:WB,n1
A021,3,SEC:BET:S12_S13:WB,n1
A021,4,PLAT:BET:S11:WB,n1
A021,4,PLAT:BET:S12:WB,n1
A021,4,PLAT:BET:S13:WB,n1
A021,4,SEC:BET:S11_S12:WB,n1
A021,4,SEC:BET:S12_S13:WB,n1
A021,5,PLAT:BET:S11:WB,n1
A021,5,PLAT:BET:S12:WB,n1
A021,5,PLAT:BET:S13:WB,n1
A021,5,SEC:BET:S11_S12:WB,n1
A021,5,SEC:BET:S12_S13:WB,n1
A023,21,PLAT:ALP:S03:WB,n1
A023,21,PLAT:ALP:S04:WB,n1
A023,21,SEC:ALP:S03_S04:WB,n1
A023,22,PLAT:ALP:S03:WB,n1
A023,22,PLAT:ALP:S04:WB,n1
A023,22,SEC:ALP:S03_S04:WB,n1
A023,23,PLAT:ALP:S03:WB,n1
A023,23,PLAT:ALP:S04:WB,n1
A023,23,SEC:ALP:S03_S04:WB,n1
A023,24,PLAT:ALP:S03:WB,n1
A023,24,PLAT:ALP:S04:WB,n1
A023,24,SEC:ALP:S03_S04:WB,n1
A023,25,PLAT:ALP:S03:WB,n1
A023,25,PLAT:ALP:S04:WB,n1
A023,25,SEC:ALP:S03_S04:WB,n1
A023,26,PLAT:ALP:S03:WB,n1
A023,26,PLAT:ALP:S04:WB,n1
A023,26,SEC:ALP:S03_S04:WB,n1
A023,27,PLAT:ALP:S03:WB,n1
A023,27,PLAT:ALP:S04:WB,n1
A023,27,SEC:ALP:S03_S04:WB,n1
A025,8,PLAT:ALP:S01:EB,n1
A025,8,PLAT:ALP:S02:EB,n1
A025,8,PLAT:ALP:S03:EB,n1
A025,8,SEC:ALP:S01_S02:EB,n1
A025,8,SEC:ALP:S02_S03:EB,n1
A025,9,PLAT:ALP:S01:EB,n2
A025,9,PLAT:ALP:S02:EB,n2
A025,9,PLAT:ALP:S03:EB,n2
A025,9,SEC:ALP:S01_S02:EB,n2
A025,9,SEC:ALP:S02_S03:EB,n2
A025,10,PLAT:ALP:S01:EB,n1
A025,10,PLAT:ALP:S02:EB,n1
A025,10,PLAT:ALP:S03:EB,n1
A025,10,SEC:ALP:S01_S02:EB,n1
A025,10,SEC:ALP:S02_S03:EB,n1
A025,11,PLAT:ALP:S01:EB,n1
A025,11,PLAT:ALP:S02:EB,n1
A025,11,PLAT:ALP:S03:EB,n1
A025,11,SEC:ALP:S01_S02:EB,n1
A025,11,SEC:ALP:S02_S03:EB,n1
A025,12,PLAT:ALP:S01:EB,n3
A025,12,PLAT:ALP:S02:EB,n3
A025,12,PLAT:ALP:S03:EB,n3
A025,12,SEC:ALP:S01_S02:EB,n3
A025,12,SEC:ALP:S02_S03:EB,n3
A025,13,PLAT:ALP:S01:EB,n1
A025,13,PLAT:ALP:S02:EB,n1
A025,13,PLAT:ALP:S03:EB,n1
A025,13,SEC:ALP:S01_S02:EB,n1
A025,13,SEC:ALP:S02_S03:EB,n1
A025,14,PLAT:ALP:S01:EB,n1
A025,14,PLAT:ALP:S02:EB,n1
A025,14,PLAT:ALP:S03:EB,n1
A025,14,SEC:ALP:S01_S02:EB,n1
A025,14,SEC:ALP:S02_S03:EB,n1
A028,9,PLAT:ALP:H01:EB,n1
A028,9,PLAT:ALP:S03:EB,n1
A028,9,PLAT:ALP:S04:EB,n1
A028,9,SEC:ALP:S03_S04:EB,n1
A028,9,SEC:ALP:S04_H01:EB,n1
A028,10,PLAT:ALP:H01:EB,n5
A028,10,PLAT:ALP:S03:EB,n5
A028,10,PLAT:ALP:S04:EB,n5
A028,10,SEC:ALP:S03_S04:EB,n5
A028,10,SEC:ALP:S04_H01:EB,n5
A031,1,PLAT:ALP:S06:WB,n5
A031,1,PLAT:ALP:S07:WB,n5
A031,1,PLAT:ALP:S08:WB,n5
A031,1,SEC:ALP:S06_S07:WB,n5
A031,1,SEC:ALP:S07_S08:WB,n5
A031,2,PLAT:ALP:S06:WB,n5
A031,2,PLAT:ALP:S07:WB,n5
A031,2,PLAT:ALP:S08:WB,n5
A031,2,SEC:ALP:S06_S07:WB,n5
A031,2,SEC:ALP:S07_S08:WB,n5
A035,1,PLAT:ALP:S02:WB,n5
A035,1,PLAT:ALP:S03:WB,n5
A035,1,PLAT:ALP:S04:WB,n5
A035,1,SEC:ALP:S02_S03:WB,n5
A035,1,SEC:ALP:S03_S04:WB,n5
A035,2,PLAT:ALP:S02:WB,n1
A035,2,PLAT:ALP:S03:WB,n1
A035,2,PLAT:ALP:S04:WB,n1
A035,2,SEC:ALP:S02_S03:WB,n1
A035,2,SEC:ALP:S03_S04:WB,n1
A035,3,PLAT:ALP:S02:WB,n5
A035,3,PLAT:ALP:S03:WB,n5
A035,3,PLAT:ALP:S04:WB,n5
A035,3,SEC:ALP:S02_S03:WB,n5
A035,3,SEC:ALP:S03_S04:WB,n5
A036,22,PLAT:BET:H01:EB,n2
A036,22,PLAT:BET:S14:EB,n2
A036,22,SEC:BET:S14_H01:EB,n2
A036,23,PLAT:BET:H01:EB,n2
A036,23,PLAT:BET:S14:EB,n2
A036,23,SEC:BET:S14_H01:EB,n2
A036,24,PLAT:BET:H01:EB,n1
A036,24,PLAT:BET:S14:EB,n1
A036,24,SEC:BET:S14_H01:EB,n1
A036,25,PLAT:BET:H01:EB,n2
A036,25,PLAT:BET:S14:EB,n2
A036,25,SEC:BET:S14_H01:EB,n2
A036,26,PLAT:BET:H01:EB,n2
A036,26,PLAT:BET:S14:EB,n2
A036,26,SEC:BET:S14_H01:EB,n2
A036,27,PLAT:BET:H01:EB,n1
A036,27,PLAT:BET:S14:EB,n1
A036,27,SEC:BET:S14_H01:EB,n1
A037,8,PLAT:BET:S15:EB,n1
A037,8,PLAT:BET:S16:EB,n1
A037,8,PLAT:BET:S17:EB,n1
A037,8,SEC:BET:S15_S16:EB,n1
A037,8,SEC:BET:S16_S17:EB,n1
A037,9,PLAT:BET:S15:EB,n4
A037,9,PLAT:BET:S16:EB,n4
A037,9,PLAT:BET:S17:EB,n4
A037,9,SEC:BET:S15_S16:EB,n4
A037,9,SEC:BET:S16_S17:EB,n4
A038,10,PLAT:BET:S17:EB,n5
A038,10,PLAT:BET:S18:EB,n5
A038,10,SEC:BET:S17_S18:EB,n5
A038,11,PLAT:BET:S17:EB,n5
A038,11,PLAT:BET:S18:EB,n5
A038,11,SEC:BET:S17_S18:EB,n5
A038,12,PLAT:BET:S17:EB,n5
A038,12,PLAT:BET:S18:EB,n5
A038,12,SEC:BET:S17_S18:EB,n5
A039,8,PLAT:BET:S11:WB,n2
A039,8,PLAT:BET:S12:WB,n2
A039,8,PLAT:BET:S13:WB,n2
A039,8,PLAT:BET:S14:WB,n2
A039,8,SEC:BET:S11_S12:WB,n2
A039,8,SEC:BET:S12_S13:WB,n2
A039,8,SEC:BET:S13_S14:WB,n2
A039,9,PLAT:BET:S11:WB,n1
A039,9,PLAT:BET:S12:WB,n1
A039,9,PLAT:BET:S13:WB,n1
A039,9,PLAT:BET:S14:WB,n1
A039,9,SEC:BET:S11_S12:WB,n1
A039,9,SEC:BET:S12_S13:WB,n1
A039,9,SEC:BET:S13_S14:WB,n1
A039,10,PLAT:BET:S11:WB,n1
A039,10,PLAT:BET:S12:WB,n1
A039,10,PLAT:BET:S13:WB,n1
A039,10,PLAT:BET:S14:WB,n1
A039,10,SEC:BET:S11_S12:WB,n1
A039,10,SEC:BET:S12_S13:WB,n1
A039,10,SEC:BET:S13_S14:WB,n1
A039,11,PLAT:BET:S11:WB,n1
A039,11,PLAT:BET:S12:WB,n1
A039,11,PLAT:BET:S13:WB,n1
A039,11,PLAT:BET:S14:WB,n1
A039,11,SEC:BET:S11_S12:WB,n1
A039,11,SEC:BET:S12_S13:WB,n1
A039,11,SEC:BET:S13_S14:WB,n1
A039,12,PLAT:BET:S11:WB,n1
A039,12,PLAT:BET:S12:WB,n1
A039,12,PLAT:BET:S13:WB,n1
A039,12,PLAT:BET:S14:WB,n1
A039,12,SEC:BET:S11_S12:WB,n1
A039,12,SEC:BET:S12_S13:WB,n1
A039,12,SEC:BET:S13_S14:WB,n1
A039,13,PLAT:BET:S11:WB,n2
A039,13,PLAT:BET:S12:WB,n2
A039,13,PLAT:BET:S13:WB,n2
A039,13,PLAT:BET:S14:WB,n2
A039,13,SEC:BET:S11_S12:WB,n2
A039,13,SEC:BET:S12_S13:WB,n2
A039,13,SEC:BET:S13_S14:WB,n2
A039,14,PLAT:BET:S11:WB,n2
A039,14,PLAT:BET:S12:WB,n2
A039,14,PLAT:BET:S13:WB,n2
A039,14,PLAT:BET:S14:WB,n2
A039,14,SEC:BET:S11_S12:WB,n2
A039,14,SEC:BET:S12_S13:WB,n2
A039,14,SEC:BET:S13_S14:WB,n2
A040,15,PLAT:BET:H01:EB,n1
A040,15,PLAT:BET:H02:EB,n1
A040,15,PLAT:BET:S15:EB,n1
A040,15,PLAT:BET:S16:EB,n1
A040,15,SEC:BET:H01_H02:EB,n1
A040,15,SEC:BET:H02_S15:EB,n1
A040,15,SEC:BET:S15_S16:EB,n1
A040,16,PLAT:BET:H01:EB,n4
A040,16,PLAT:BET:H02:EB,n4
A040,16,PLAT:BET:S15:EB,n4
A040,16,PLAT:BET:S16:EB,n4
A040,16,SEC:BET:H01_H02:EB,n4
A040,16,SEC:BET:H02_S15:EB,n4
A040,16,SEC:BET:S15_S16:EB,n4
A040,17,PLAT:BET:H01:EB,n2
A040,17,PLAT:BET:H02:EB,n2
A040,17,PLAT:BET:S15:EB,n2
A040,17,PLAT:BET:S16:EB,n2
A040,17,SEC:BET:H01_H02:EB,n2
A040,17,SEC:BET:H02_S15:EB,n2
A040,17,SEC:BET:S15_S16:EB,n2
A040,18,PLAT:BET:H01:EB,n1
A040,18,PLAT:BET:H02:EB,n1
A040,18,PLAT:BET:S15:EB,n1
A040,18,PLAT:BET:S16:EB,n1
A040,18,SEC:BET:H01_H02:EB,n1
A040,18,SEC:BET:H02_S15:EB,n1
A040,18,SEC:BET:S15_S16:EB,n1
A040,20,PLAT:BET:H01:EB,n2
A040,20,PLAT:BET:H02:EB,n2
A040,20,PLAT:BET:S15:EB,n2
A040,20,PLAT:BET:S16:EB,n2
A040,20,SEC:BET:H01_H02:EB,n2
A040,20,SEC:BET:H02_S15:EB,n2
A040,20,SEC:BET:S15_S16:EB,n2
A040,21,PLAT:BET:H01:EB,n3
A040,21,PLAT:BET:H02:EB,n3
A040,21,PLAT:BET:S15:EB,n3
A040,21,PLAT:BET:S16:EB,n3
A040,21,SEC:BET:H01_H02:EB,n3
A040,21,SEC:BET:H02_S15:EB,n3
A040,21,SEC:BET:S15_S16:EB,n3
A040,22,PLAT:BET:H01:EB,n2
A040,22,PLAT:BET:H02:EB,n2
A040,22,PLAT:BET:S15:EB,n2
A040,22,PLAT:BET:S16:EB,n2
A040,22,SEC:BET:H01_H02:EB,n2
A040,22,SEC:BET:H02_S15:EB,n2
A040,22,SEC:BET:S15_S16:EB,n2
A041,11,PLAT:BET:S15:EB,n1
A041,11,PLAT:BET:S16:EB,n1
A041,11,SEC:BET:S15_S16:EB,n1
A041,12,PLAT:BET:S15:EB,n4
A041,12,PLAT:BET:S16:EB,n4
A041,12,SEC:BET:S15_S16:EB,n4
A042,23,PLAT:BET:S15:EB,n1
A042,23,PLAT:BET:S16:EB,n1
A042,23,PLAT:BET:S17:EB,n1
A042,23,PLAT:BET:S18:EB,n1
A042,23,SEC:BET:S15_S16:EB,n1
A042,23,SEC:BET:S16_S17:EB,n1
A042,23,SEC:BET:S17_S18:EB,n1
A042,24,PLAT:BET:S15:EB,n1
A042,24,PLAT:BET:S16:EB,n1
A042,24,PLAT:BET:S17:EB,n1
A042,24,PLAT:BET:S18:EB,n1
A042,24,SEC:BET:S15_S16:EB,n1
A042,24,SEC:BET:S16_S17:EB,n1
A042,24,SEC:BET:S17_S18:EB,n1
A042,25,PLAT:BET:S15:EB,n1
A042,25,PLAT:BET:S16:EB,n1
A042,25,PLAT:BET:S17:EB,n1
A042,25,PLAT:BET:S18:EB,n1
A042,25,SEC:BET:S15_S16:EB,n1
A042,25,SEC:BET:S16_S17:EB,n1
A042,25,SEC:BET:S17_S18:EB,n1
A043,13,PLAT:BET:H02:EB,n5
A043,13,PLAT:BET:S15:EB,n5
A043,13,PLAT:BET:S16:EB,n5
A043,13,PLAT:BET:S17:EB,n5
A043,13,SEC:BET:H02_S15:EB,n5
A043,13,SEC:BET:S15_S16:EB,n5
A043,13,SEC:BET:S16_S17:EB,n5
A043,14,PLAT:BET:H02:EB,n1
A043,14,PLAT:BET:S15:EB,n1
A043,14,PLAT:BET:S16:EB,n1
A043,14,PLAT:BET:S17:EB,n1
A043,14,SEC:BET:H02_S15:EB,n1
A043,14,SEC:BET:S15_S16:EB,n1
A043,14,SEC:BET:S16_S17:EB,n1
A046,9,PLAT:ALP:S05:WB,n1
A046,9,PLAT:ALP:S06:WB,n1
A046,9,SEC:ALP:S05_S06:WB,n1
A046,10,PLAT:ALP:S05:WB,n1
A046,10,PLAT:ALP:S06:WB,n1
A046,10,SEC:ALP:S05_S06:WB,n1
A046,11,PLAT:ALP:S05:WB,n2
A046,11,PLAT:ALP:S06:WB,n2
A046,11,SEC:ALP:S05_S06:WB,n2
A046,12,PLAT:ALP:S05:WB,n3
A046,12,PLAT:ALP:S06:WB,n3
A046,12,SEC:ALP:S05_S06:WB,n3
A046,13,PLAT:ALP:S05:WB,n3
A046,13,PLAT:ALP:S06:WB,n3
A046,13,SEC:ALP:S05_S06:WB,n3
A047,13,PLAT:ALP:H02:EB,n3
A047,13,PLAT:ALP:S05:EB,n3
A047,13,PLAT:ALP:S06:EB,n3
A047,13,SEC:ALP:H02_S05:EB,n3
A047,13,SEC:ALP:S05_S06:EB,n3
A047,14,PLAT:ALP:H02:EB,n1
A047,14,PLAT:ALP:S05:EB,n1
A047,14,PLAT:ALP:S06:EB,n1
A047,14,SEC:ALP:H02_S05:EB,n1
A047,14,SEC:ALP:S05_S06:EB,n1
A048,1,PLAT:BET:S13:EB,n5
A048,1,PLAT:BET:S14:EB,n5
A048,1,SEC:BET:S13_S14:EB,n5
A048,2,PLAT:BET:S13:EB,n5
A048,2,PLAT:BET:S14:EB,n5
A048,2,SEC:BET:S13_S14:EB,n5
A048,3,PLAT:BET:S13:EB,n5
A048,3,PLAT:BET:S14:EB,n5
A048,3,SEC:BET:S13_S14:EB,n5
A049,8,PLAT:BET:H02:WB,n1
